,acc_phone_x,acc_phone_y,acc_phone_z,gyr_phone_x,gyr_phone_y,gyr_phone_z,labelwalk,labelsit,labelride,labelrun,mag_phone_x,mag_phone_y,mag_phone_z,loc_phone_latitude,loc_phone_longitude,loc_phone_speed
2023-06-09 12:31:00.002269952,0.04251159668,1.354233856,9.723330231,,,,1,0,0,0,,,,52.33452232666667,4.864222473333333,-1.0
2023-06-09 12:31:00.182269952,-0.1701960754,1.678908691,9.417815552,-0.1471275091,0.1418992579,0.2474073768,1,0,0,0,0.7548522949,-19.77249908,-42.09226227,,,
2023-06-09 12:31:00.362269952,0.03188369751,1.666933594,9.886341248,-0.09461683035,0.277141422,0.6009099483,1,0,0,0,-0.2249908447,-18.85208321,-41.99662781,,,
2023-06-09 12:31:00.602269952,-1.325942688,-0.1546284485,10.47551605,,,,1,0,0,0,,,,,,
2023-06-09 12:31:00.782269952,-1.556613007,0.3474275208,9.634714508,,,,1,0,0,0,,,,,,
2023-06-09 12:31:00.962269952,-1.194366302,1.221310272,9.578132172,0.09284701198,-0.2774571776,0.4601774216,1,0,0,0,-2.844314575,-15.22545815,-42.77962112,,,
2023-06-09 12:31:01.202269952,0.2598596191,-0.5089416504,10.82668579,,,,1,0,0,0,,,,,,
2023-06-09 12:31:01.382269952,0.2968327332,0.3366499329,10.29005173,,,,1,0,0,0,,,,,,
2023-06-09 12:31:01.562269952,0.3685336304,0.8451425171,9.746531982,-0.201394558,0.1460896283,0.4733331501,1,0,0,0,-5.055419922,-15.6867466,-42.94966888,,,
2023-06-09 12:31:01.802269952,-1.005010071,0.1166075134,10.85587509,,,,1,0,0,0,,,,,,
2023-06-09 12:31:01.982269952,-0.8090675354,0.3441343689,8.613388367,,,,1,0,0,0,,,,,,
2023-06-09 12:31:02.162269952,-1.077010345,0.710123291,9.29282547,-0.1747475564,-0.1453362554,0.3993650079,1,0,0,0,-1.193206787,-8.934993744,-43.55696869,,,
2023-06-09 12:31:02.402269952,-0.2523751831,0.6756948853,10.29648834,,,,1,0,0,0,,,,,,
2023-06-09 12:31:02.582269952,0.9789642334,0.6845265198,7.647746429,,,,1,0,0,0,,,,,,
2023-06-09 12:31:02.762269952,0.4810995483,0.7584727478,8.671617279,0.07134329528,-0.2257059515,0.005447366741,1,0,0,0,-5.509338379,-16.30554008,-41.27887726,,,
2023-06-09 12:31:03.002269952,0.4309538269,1.511407013,9.723030853,,,,1,0,0,0,,,,,,
2023-06-09 12:31:03.182269952,-1.327738953,0.2585124207,11.04163879,,,,1,0,0,0,,,,,,
2023-06-09 12:31:03.362269952,-0.5617817688,0.4224215698,8.337062988,-0.3968246281,-0.260045439,0.9579879642,1,0,0,0,-5.203353882,-10.72300339,-40.18164062,,,
2023-06-09 12:31:03.602269952,-0.2559677124,0.8857081604,9.897867279,,,,1,0,0,0,,,,,,
2023-06-09 12:31:03.782269952,0.0260458374,-0.6138734436,9.828561401,,,,1,0,0,0,,,,,,
2023-06-09 12:31:04.022269952,0.04790039063,0.1830693054,8.803343353,,,,1,0,0,0,,,,52.33449367,4.864196218,-1.0
2023-06-09 12:31:04.202269952,-0.2598596191,0.3577560425,11.35538635,,,,1,0,0,0,,,,,,
2023-06-09 12:31:04.382269952,-1.628463593,0.02035766602,9.353898468,,,,1,0,0,0,,,,,,
2023-06-09 12:31:04.622269952,-0.877325592,0.5893244934,7.545808411,,,,1,0,0,0,,,,,,
2023-06-09 12:31:04.802269952,-0.5634283447,-0.1398092651,12.40440491,,,,1,0,0,0,,,,52.33321255,4.863945739,1.940000057
2023-06-09 12:31:04.982269952,-0.2484832764,-0.07813751221,8.902736664,,,,1,0,0,0,,,,,,
2023-06-09 12:31:05.222269952,-1.206790466,1.037193146,6.007307739,,,,1,0,0,0,,,,,,
2023-06-09 12:31:05.402269952,-1.326541443,0.01856140137,12.09200455,,,,1,0,0,0,,,,,,
2023-06-09 12:31:05.582269952,-2.904709625,0.1104702759,7.46392868,,,,1,0,0,0,,,,,,
2023-06-09 12:31:05.822269952,-1.535357208,0.8090675354,7.968529358,,,,1,0,0,0,,,,52.33320404,4.863978177,1.139999986
2023-06-09 12:31:06.002269952,-1.342707825,-0.1440005493,12.64809814,,,,1,0,0,0,,,,,,
2023-06-09 12:31:06.182269952,-0.573457489,-0.5264552307,9.402098236,,,,1,0,0,0,,,,,,
2023-06-09 12:31:06.422269952,-0.6583309937,0.4495152283,8.508007507,,,,1,0,0,0,,,,,,
2023-06-09 12:31:06.602269952,-3.51723587,-0.9139993286,14.0036792,,,,1,0,0,0,,,,,,
2023-06-09 12:31:06.782269952,-0.995280304,0.3852987671,6.678961029,,,,1,0,0,0,,,,,,
2023-06-09 12:31:07.022269952,-0.5116360474,0.4721182251,10.17419266,,,,1,0,0,0,,,,,,
2023-06-09 12:31:07.202269952,-0.8508306885,-0.9806108093,10.66786606,,,,1,0,0,0,,,,,,
2023-06-09 12:31:07.442269952,-0.6941065979,-0.09924362183,7.835156708,,,,1,0,0,0,,,,,,
2023-06-09 12:31:07.622269952,-2.037263489,0.6408174133,11.01484451,,,,1,0,0,0,,,,,,
2023-06-09 12:31:07.802269952,-2.774480438,-0.4849914551,9.306596832,,,,1,0,0,0,,,,,,
2023-06-09 12:31:08.042269952,-0.9717791748,0.2875520325,7.857011261,,,,1,0,0,0,,,,,,
2023-06-09 12:31:08.222269952,-0.8363108826,0.2174977112,12.52535339,,,,1,0,0,0,,,,,,
2023-06-09 12:31:08.402269952,0.157023468,-0.7783813477,8.633147278,,,,1,0,0,0,,,,,,
2023-06-09 12:31:08.642269952,-0.2323168945,0.366587677,8.249345398,,,,1,0,0,0,,,,52.33428597,4.864105834,1.129999995
2023-06-09 12:31:08.822269952,-1.281934204,0.5914201355,10.25128235,,,,1,0,0,0,,,,,,
2023-06-09 12:31:09.002269952,-1.579814758,-0.02903961182,8.010591888,,,,1,0,0,0,,,,,,
2023-06-09 12:31:09.242269952,-0.6165678406,0.8755293274,9.45194458,,,,1,0,0,0,,,,,,
2023-06-09 12:31:09.422269952,0.346230011,1.359323273,9.460327148,,,,1,0,0,0,,,,,,
2023-06-09 12:31:09.602269952,-0.6110293579,-0.1561253357,9.484127655,,,,1,0,0,0,,,,,,
2023-06-09 12:31:09.842269952,-0.3405418396,2.012115784,8.975186005,,,,1,0,0,0,,,,,,
2023-06-09 12:31:10.022269952,-2.791245575,0.4917274475,12.94822403,,,,1,0,0,0,,,,,,
2023-06-09 12:31:10.202269952,-0.5989045715,1.016985168,7.21828949,,,,1,0,0,0,,,,,,
2023-06-09 12:31:10.442269952,-0.5270539856,1.572180634,10.51847672,,,,1,0,0,0,,,,,,
2023-06-09 12:31:10.622269952,-0.02874023438,-1.278641052,13.65580261,,,,1,0,0,0,,,,52.33426439,4.864129219,0.4300000072
2023-06-09 12:31:10.802269952,-0.8367599487,0.6637197876,7.932753754,,,,1,0,0,0,,,,,,
2023-06-09 12:31:11.042269952,-0.03921844482,1.255588989,10.90003326,,,,1,0,0,0,,,,,,
2023-06-09 12:31:11.222269952,-2.091151428,-0.0419128418,10.27643005,,,,1,0,0,0,,,,,,
2023-06-09 12:31:11.462269952,-0.993633728,1.131646729,7.582482147,-0.1879910082,0.02002771199,0.1931615472,1,0,0,0,-4.312927246,-25.60662651,-51.71032715,,,
2023-06-09 12:31:11.642269952,-0.6060896301,0.5978567505,11.6215329,,,,1,0,0,0,,,,52.33426033,4.864143133,0.4300000072
2023-06-09 12:31:11.822269952,0.2933898926,0.6827302551,7.866291962,,,,1,0,0,0,,,,,,
2023-06-09 12:31:12.062269952,-0.2368075562,0.4751119995,7.345973969,-0.03259361908,-0.05282907188,-0.2620304823,1,0,0,0,0.7972869873,-28.69281578,-41.82028198,,,
2023-06-09 12:31:12.242269952,-1.186732178,0.8936416626,11.5538736,-0.6831567287,0.2992485762,0.04782078415,1,0,0,0,4.499847412,-27.00077629,-39.09447479,,,
2023-06-09 12:31:12.422269952,-3.2341745,0.4658312988,7.883506165,,,,1,0,0,0,,,,,,
2023-06-09 12:31:12.662269952,-1.172511749,0.5971083069,9.238488464,-0.05282743275,-0.02385598421,0.5652093887,1,0,0,0,1.45375061,-21.25156403,-37.36186981,,,
2023-06-09 12:31:12.842269952,0.1526824951,-0.2814147949,11.35373978,-0.4648131132,0.3805729151,-0.0620842278,1,0,0,0,1.010299683,-21.29072189,-34.34334564,,,
2023-06-09 12:31:13.022269952,-0.2176473999,-0.2007325745,9.523645477,,,,1,0,0,0,,,,,,
2023-06-09 12:31:13.262269952,-0.4125421143,0.5834866333,8.835676117,0.2524528503,-0.07296264172,-0.2738399804,1,0,0,0,7.637435913,-21.37919807,-31.50297928,,,
2023-06-09 12:31:13.442269952,-2.986888733,-1.650318146,15.73617645,-0.07962081581,-0.7384536266,-0.111999765,1,0,0,0,9.958679199,-18.68115044,-32.92056656,,,
2023-06-09 12:31:13.622269952,-1.768422546,0.1922003174,7.428003387,,,,1,0,0,0,,,,52.33425329,4.864183366,1.090000033
2023-06-09 12:31:13.862269952,-0.4644841003,0.9413923645,10.44827271,-0.08767279983,0.05864487588,0.4980888963,1,0,0,0,8.917037964,-18.55143356,-35.04536819,,,
2023-06-09 12:31:14.042269952,-0.199385376,-1.609303436,12.53119125,0.598600328,-0.4878928661,-0.4302767217,1,0,0,0,9.925476074,-19.51679993,-36.1460495,,,
2023-06-09 12:31:14.222269952,-0.5363346863,0.219743042,6.789431305,,,,1,0,0,0,,,,,,
2023-06-09 12:31:14.462269952,-0.9719288635,-0.09610015869,12.37880814,-0.4367073476,-0.198126018,0.2222772092,1,0,0,0,19.47924805,-19.66007233,-38.26324463,,,
