,acc_phone_x,acc_phone_y,acc_phone_z,gyr_phone_x,gyr_phone_y,gyr_phone_z,labelwalk,labelsit,labelride,labelrun,mag_phone_x,mag_phone_y,mag_phone_z,loc_phone_latitude,loc_phone_longitude,loc_phone_speed,simple_dist_outlier
2023-06-09 12:31:00.002269952,-0.06384223936,1.5165712735,9.5705728915,-0.1471275091,0.1418992579,0.2474073768,1,0,0,0,0.7548522949,-19.77249908,-42.09226227,52.33452232666667,4.864222473333333,-1.0,False
2023-06-09 12:31:00.252269952,0.03188369751,1.666933594,9.886341248,-0.09461683035,0.277141422,0.6009099483,1,0,0,0,-0.2249908447,-18.85208321,-41.99662781,52.33447776829667,4.891991603794989,-0.011739427005407843,False
2023-06-09 12:31:00.502269952,-1.325942688,-0.1546284485,10.47551605,-0.1626223624,0.1932955384,0.4732365608,1,0,0,0,0.8097381592,-17.96432877,-41.88904572,52.33447776829667,4.891991603794989,-0.011739427005407843,False
2023-06-09 12:31:00.752269952,-1.556613007,0.3474275208,9.634714508,-0.12746294216,-0.171695396285,0.56187051535,1,0,0,0,-1.2288513182499998,-16.338027955,-42.39824295,52.33447776829667,4.891991603794989,-0.011739427005407843,False
2023-06-09 12:31:01.002269952,-0.4672533414499999,0.3561843108,10.202408981,-0.1236967444,-0.007860669866,0.3209987581,1,0,0,0,-4.379364014,-15.66962624,-43.23389435,52.33447776829667,4.891991603794989,-0.011739427005407843,False
2023-06-09 12:31:01.252269952,0.2968327332,0.3366499329,10.29005173,-0.2502204776,0.04135975987,0.3302589357,1,0,0,0,-3.79826355,-17.05387688,-42.58215332,52.33447776829667,4.891991603794989,-0.011739427005407843,False
2023-06-09 12:31:01.502269952,0.3685336304,0.8451425171,9.746531982,-0.201394558,0.1460896283,0.4733331501,1,0,0,0,-5.055419922,-15.6867466,-42.94966888,52.33447776829667,4.891991603794989,-0.011739427005407843,False
2023-06-09 12:31:01.752269952,-1.005010071,0.1166075134,10.85587509,-0.31396998465,0.1499404609,0.6142760217000001,1,0,0,0,-2.2246170045,-13.28521061,-43.17323494,52.33447776829667,4.891991603794989,-0.011739427005407843,False
2023-06-09 12:31:02.002269952,-0.9430389402,0.52712882995,8.953106918500001,-0.1747475564,-0.1453362554,0.3993650079,1,0,0,0,-1.193206787,-8.934993744,-43.55696869,52.33447776829667,4.891991603794989,-0.011739427005407843,False
2023-06-09 12:31:02.252269952,-0.2523751831,0.6756948853,10.29648834,0.1751781404,-0.2526648641,0.206620872,1,0,0,0,-0.07510375977,-9.785196304,-43.57415009,52.33447776829667,4.891991603794989,-0.011739427005407843,False
