,acc_phone_x,acc_phone_y,acc_phone_z,gyr_phone_x,gyr_phone_y,gyr_phone_z,labelwalk,labelsit,labelride,labelrun,mag_phone_x,mag_phone_y,mag_phone_z,loc_phone_latitude,loc_phone_longitude,loc_phone_speed,simple_dist_outlier,pca_1,pca_2,pca_3,pca_4,pca_5
2023-06-09 12:31:00.002269952,-0.06621935802354062,1.514763360590234,9.570936293239763,-0.14701870092025035,0.14225893396435568,0.24755494235540207,1,0,0,0,0.7523218291548048,-19.765968699178398,-42.09305670814411,52.33452232666667,4.864222473333333,-1.0,False,-0.2494849155652241,0.035071093638326986,0.035563907402629664,0.022296412652335132,-0.0040837948615093395
2023-06-09 12:31:00.252269952,-0.03212372011644808,1.480906842586117,10.102378664293944,-0.09865376905635649,0.33112071306842766,0.5538248943362102,1,0,0,0,-0.12170082363258701,-18.90346427587416,-42.05153296717248,52.33447776829667,4.891991603794989,-0.0117394270054078,False,-0.24828831373627622,0.026553622196797067,0.020708056196064757,0.03748865615545752,0.01083053019061283
2023-06-09 12:31:00.502269952,-1.2310523084112917,0.1329370116523637,10.124266749043366,-0.15877598436635335,0.10218331561853831,0.5535574630292049,1,0,0,0,0.717960393818514,-17.924873213000208,-41.788411124849304,52.33447776829667,4.891991603794989,-0.0117394270054078,False,-0.239840231529114,0.03459576443155997,0.011204718398090167,0.03065892899365604,0.01864392984659674
2023-06-09 12:31:00.752269952,-1.6260021398647067,0.08870243319502898,9.981287803272608,-0.1252341262042391,-0.0734230626219988,0.4714812546225855,1,0,0,0,-1.3064741262731614,-16.288019589486684,-42.52703395994754,52.33447776829667,4.891991603794989,-0.0117394270054078,False,-0.22946623901450255,0.023325562634722317,0.008141467755828111,0.02613239145433054,0.0150640652597811
2023-06-09 12:31:01.002269952,-0.47581667804882277,0.47524734282079034,10.020494709562282,-0.13625791002708373,-0.07990129426163481,0.3959050533208439,1,0,0,0,-4.022199791457673,-15.862529327741745,-43.09729196649772,52.33447776829667,4.891991603794989,-0.0117394270054078,False,-0.22670931599945715,0.003044511855198111,0.01541406495104855,0.024016866153708072,0.008605010319439079
2023-06-09 12:31:01.252269952,0.4086267868623325,0.39774251817587,10.174170442343735,-0.22673793717884147,0.061432368029928706,0.29014888554724616,1,0,0,0,-4.428227855192795,-16.720206703562557,-42.709498726757595,52.33447776829667,4.891991603794989,-0.0117394270054078,False,-0.23082232360037339,-0.001332727510448082,0.025664891553209168,0.016550451711826758,0.006298663209125853
2023-06-09 12:31:01.502269952,0.16716200466337985,0.646219910443864,10.221963458530478,-0.23350418743288892,0.18706101453172963,0.4732429732099531,1,0,0,0,-4.282586251575887,-16.103512430839068,-42.840033793415756,52.33447776829667,4.891991603794989,-0.0117394270054078,False,-0.2288252060658866,-0.00129353777641485,0.017256239441221233,0.02386308970719238,0.014919116763464317
2023-06-09 12:31:01.752269952,-0.7620182927356736,0.3580811409207404,10.06081663596531,-0.2752048278762933,0.058781426817714866,0.6423865225183901,1,0,0,0,-2.947199983855428,-12.867441925181199,-43.267554691190035,52.33447776829667,4.891991603794989,-0.0117394270054078,False,-0.20958881787082126,0.0037546555058831665,-0.0062103816068910175,0.023530945412293836,0.022977943153185725
2023-06-09 12:31:02.002269952,-1.1643548562061226,0.33748703438389427,9.920906363770515,-0.22199987181785402,-0.030580931948264372,0.37023856451260645,1,0,0,0,-0.6839658978845214,-9.290605113949963,-43.46722078781952,52.33447776829667,4.891991603794989,-0.0117394270054078,False,-0.18897456967479295,0.01220823843319374,-0.02189658851143196,0.004223685119348527,0.005797534443058163
2023-06-09 12:31:02.252269952,-0.10605722804725226,0.7682374731966137,9.383336030134826,0.23770073768700808,-0.3588488686505338,0.20444332108930985,1,0,0,0,-0.31376181235086764,-9.506954254969134,-43.67161192677713,52.33447776829667,4.891991603794989,-0.0117394270054078,False,-0.1865073194875841,0.012502422236430584,-0.01620498572888921,0.022738923329276205,-0.029777049119548
2023-06-09 12:31:02.502269952,0.9298308202271158,0.6668602374737393,8.2559145121663,0.6550247218423142,-0.6232178201953829,0.0969877298791467,1,0,0,0,-2.9505417508069085,-13.431234099228874,-42.80118006252251,52.33447776829667,4.891991603794989,-0.0117394270054078,False,-0.19458684825824357,0.009042334216683217,0.021067992750986544,0.05338502070951361,-0.05643728865578488
2023-06-09 12:31:02.752269952,0.4503979820418444,0.7731815761205554,8.563695327265563,0.20584758988706836,0.073445417928703,-0.054138791181177696,1,0,0,0,-5.397758357959829,-16.33483747599422,-40.98466772302832,52.33447776829667,4.891991603794989,-0.0117394270054078,False,-0.20919257359746635,0.007310941580684704,0.051214758280570566,0.027665778069546555,-0.029918430869177892
2023-06-09 12:31:03.002269952,-0.38718656745474755,0.7922945196098304,9.927585449060002,-0.5150967405058385,0.37626055674301845,0.45492411329514454,1,0,0,0,-5.085082636960364,-14.955711771318612,-40.09101484646264,52.33447776829667,4.891991603794989,-0.0117394270054078,False,-0.21145839833754054,0.00494729600734652,0.027530317289965345,0.010168526885348325,0.035276537928524344
2023-06-09 12:31:03.252269952,-0.5922678345333052,0.6430092232337201,9.233579368804712,-0.23413379439586987,-0.20035857801843926,0.805908296766949,1,0,0,0,-5.428479649156188,-10.583895860107958,-40.24701402687884,52.33447776829667,4.891991603794989,-0.0117394270054078,False,-0.17790917058892364,0.0004218012163320129,0.0015242412031220398,0.03928915535574227,0.032942350653140086
2023-06-09 12:31:03.502269952,-0.30511478515057877,0.5372931770098609,8.86196950230985,0.2375928403949914,-0.0698901818358586,0.2718193470177536,1,0,0,0,-6.3785314555783685,-7.927806216468786,-40.216332211298536,52.33447776829667,4.891991603794989,-0.0117394270054078,False,-0.1574627302927966,-0.005448975134109619,0.0037832380225415454,0.031750717070001204,-0.01163456685119898
2023-06-09 12:31:03.752269952,0.17275931775442116,-0.18009502618555853,10.586507556719885,-0.12859160447986767,0.2122834989269238,0.08710337672042053,1,0,0,0,-5.123314149483829,-7.761083852460513,-39.937589701269324,52.33447776829667,4.891991603794989,-0.0117394270054078,False,-0.17022160234174402,-0.009474732284943579,-0.007041624846835091,-0.003895263503662031,0.0034187567714893644
